"IMDBCode","DATE","X1","X2","X3"
"tt11171954",2022-06-06,"3","0.4%",37
"tt11171954",2022-06-06,"2","0.3%",27
"tt11171954",2022-06-06,"1","1.1%",105
"tt11171978",2022-06-06,"10","77.5%",12634
"tt11171978",2022-06-06,"9","14.2%",2317
"tt11171978",2022-06-06,"8","4.4%",723
"tt11171978",2022-06-06,"7","1.5%",252
"tt11171978",2022-06-06,"6","0.6%",97
"tt11171978",2022-06-06,"5","0.3%",57
"tt11171978",2022-06-06,"4","0.2%",28
"tt11171978",2022-06-06,"3","0.1%",19
"tt11171978",2022-06-06,"2","0.2%",31
"tt11171978",2022-06-06,"1","0.8%",135
"tt11172000",2022-06-06,"10","31.2%",2471
"tt11172000",2022-06-06,"9","26.7%",2119
"tt11172000",2022-06-06,"8","27.6%",2185
"tt11172000",2022-06-06,"7","8.8%",696
"tt11172000",2022-06-06,"6","2.5%",201
"tt11172000",2022-06-06,"5","1.0%",77
"tt11172000",2022-06-06,"4","0.5%",40
"tt11172000",2022-06-06,"3","0.3%",25
"tt11172000",2022-06-06,"2","0.3%",23
"tt11172000",2022-06-06,"1","1.2%",93
"tt11172012",2022-06-06,"10","39.3%",3060
"tt11172012",2022-06-06,"9","33.3%",2599
"tt11172012",2022-06-06,"8","17.3%",1351
"tt11172012",2022-06-06,"7","5.4%",418
"tt11172012",2022-06-06,"6","1.6%",123
"tt11172012",2022-06-06,"5","0.9%",67
"tt11172012",2022-06-06,"4","0.4%",29
"tt11172012",2022-06-06,"3","0.3%",24
"tt11172012",2022-06-06,"2","0.3%",24
"tt11172012",2022-06-06,"1","1.3%",99
"tt11172022",2022-06-06,"10","83.6%",13151
"tt11172022",2022-06-06,"9","10.4%",1642
"tt11172022",2022-06-06,"8","2.8%",444
"tt11172022",2022-06-06,"7","1.0%",165
"tt11172022",2022-06-06,"6","0.5%",72
"tt11172022",2022-06-06,"5","0.2%",36
"tt11172022",2022-06-06,"4","0.2%",24
"tt11172022",2022-06-06,"3","0.1%",17
"tt11172022",2022-06-06,"2","0.2%",26
"tt11172022",2022-06-06,"1","0.9%",145
"tt3480822",2022-06-06,"10","8.9%",31660
"tt3480822",2022-06-06,"9","6.3%",22190
"tt3480822",2022-06-06,"8","17.3%",61225
"tt3480822",2022-06-06,"7","29.8%",105403
"tt3480822",2022-06-06,"6","20.8%",73677
"tt3480822",2022-06-06,"5","8.6%",30336
"tt3480822",2022-06-06,"4","3.5%",12224
"tt3480822",2022-06-06,"3","1.7%",6162
"tt3480822",2022-06-06,"2","1.0%",3662
"tt3480822",2022-06-06,"1","2.1%",7485
"tt10160804",2022-06-06,"10","16.1%",25542
"tt10160804",2022-06-06,"9","14.5%",22987
"tt10160804",2022-06-06,"8","30.0%",47643
"tt10160804",2022-06-06,"7","23.2%",36753
"tt10160804",2022-06-06,"6","9.1%",14414
"tt10160804",2022-06-06,"5","3.1%",4917
"tt10160804",2022-06-06,"4","1.2%",1962
"tt10160804",2022-06-06,"3","0.7%",1116
"tt10160804",2022-06-06,"2","0.5%",838
"tt10160804",2022-06-06,"1","1.5%",2420
"tt0078346",2022-06-06,"10","12.5%",21571
"tt0078346",2022-06-06,"9","10.5%",18167
"tt0078346",2022-06-06,"8","25.2%",43461
"tt0078346",2022-06-06,"7","29.3%",50461
"tt0078346",2022-06-06,"6","12.8%",22146
"tt0078346",2022-06-06,"5","4.8%",8305
"tt0078346",2022-06-06,"4","1.9%",3242
"tt0078346",2022-06-06,"3","1.1%",1900
"tt0078346",2022-06-06,"2","0.7%",1182
"tt0078346",2022-06-06,"1","1.2%",2060
"tt0092494",2022-06-06,"10","7.8%",2754
"tt0092494",2022-06-06,"9","5.5%",1940
"tt0092494",2022-06-06,"8","15.5%",5468
"tt0092494",2022-06-06,"7","27.0%",9546
"tt0092494",2022-06-06,"6","23.3%",8251
"tt0092494",2022-06-06,"5","11.2%",3966
"tt0092494",2022-06-06,"4","5.0%",1754
"tt0092494",2022-06-06,"3","2.5%",896
"tt0092494",2022-06-06,"2","1.1%",403
"tt0092494",2022-06-06,"1","1.1%",406
"tt0093260",2022-06-06,"10","5.3%",3154
"tt0093260",2022-06-06,"9","5.5%",3248
"tt0093260",2022-06-06,"8","17.9%",10623
"tt0093260",2022-06-06,"7","35.6%",21099
"tt0093260",2022-06-06,"6","22.4%",13267
"tt0093260",2022-06-06,"5","8.1%",4819
"tt0093260",2022-06-06,"4","2.8%",1674
"tt0093260",2022-06-06,"3","1.2%",699
"tt0093260",2022-06-06,"2","0.5%",320
"tt0093260",2022-06-06,"1","0.7%",435
"tt0071129",2022-06-06,"10","21.1%",9123
"tt0071129",2022-06-06,"9","18.6%",8030
"tt0071129",2022-06-06,"8","27.1%",11739
"tt0071129",2022-06-06,"7","16.6%",7191
"tt0071129",2022-06-06,"6","7.3%",3172
"tt0071129",2022-06-06,"5","3.5%",1531
"tt0071129",2022-06-06,"4","1.7%",744
"tt0071129",2022-06-06,"3","1.0%",428
"tt0071129",2022-06-06,"2","0.8%",367
"tt0071129",2022-06-06,"1","2.1%",918
"tt0047528",2022-06-06,"10","21.6%",13533
"tt0047528",2022-06-06,"9","20.3%",12728
"tt0047528",2022-06-06,"8","27.5%",17214
"tt0047528",2022-06-06,"7","15.4%",9637
"tt0047528",2022-06-06,"6","6.5%",4055
"tt0047528",2022-06-06,"5","3.1%",1931
"tt0047528",2022-06-06,"4","1.4%",891
"tt0047528",2022-06-06,"3","0.9%",549
"tt0047528",2022-06-06,"2","0.8%",471
"tt0047528",2022-06-06,"1","2.6%",1639
"tt0266697",2022-06-06,"10","18.3%",198417
"tt0266697",2022-06-06,"9","24.0%",260442
"tt0266697",2022-06-06,"8","30.2%",328620
"tt0266697",2022-06-06,"7","15.2%",165581
"tt0266697",2022-06-06,"6","5.6%",60651
"tt0266697",2022-06-06,"5","2.4%",26243
"tt0266697",2022-06-06,"4","1.2%",13138
"tt0266697",2022-06-06,"3","0.8%",9117
"tt0266697",2022-06-06,"2","0.7%",7475
"tt0266697",2022-06-06,"1","1.6%",17161
"tt0378194",2022-06-06,"10","16.1%",118851
"tt0378194",2022-06-06,"9","21.0%",154897
"tt0378194",2022-06-06,"8","33.5%",247742
"tt0378194",2022-06-06,"7","16.9%",125150
"tt0378194",2022-06-06,"6","6.1%",44849
"tt0378194",2022-06-06,"5","2.5%",18313
"tt0378194",2022-06-06,"4","1.1%",8293
"tt0378194",2022-06-06,"3","0.7%",5080
"tt0378194",2022-06-06,"2","0.6%",4712
"tt0378194",2022-06-06,"1","1.5%",10977
"tt5033998",2022-06-06,"10","6.8%",4835
"tt5033998",2022-06-06,"9","2.6%",1844
"tt5033998",2022-06-06,"8","6.1%",4381
"tt5033998",2022-06-06,"7","11.8%",8436
"tt5033998",2022-06-06,"6","17.2%",12247
"tt5033998",2022-06-06,"5","16.2%",11576
"tt5033998",2022-06-06,"4","10.2%",7239
"tt5033998",2022-06-06,"3","7.2%",5162
